LCLid,avg_peak_kwh,shiftable_kwh_day,monthly_savings_gbp,avg_consumption,weekend_usage,holiday_usage,Acorn_grouped,stdorToU,anomaly_count,usage_pattern,recommendation
MAC002628,1.0418483476976976,0.9376635129279278,17.78,0.9692578601590881,0.2855129650507328,0.023988475510459725,Affluent,Std,782,Balanced Users,Shift approximately 0.94 kWh/day from peak to off-peak hours. Estimated monthly saving: £17.78. 782 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000379,1.0202477766062603,0.9182229989456343,17.41,0.6922800939915048,0.2849189657305456,0.025733019918347148,Affluent,Std,351,Balanced Users,Shift approximately 0.92 kWh/day from peak to off-peak hours. Estimated monthly saving: £17.41. 351 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001734,1.0201933541601256,0.918174018744113,17.41,0.6681347016203476,0.28596680742413827,0.023568692919571834,Affluent,Std,612,Balanced Users,Shift approximately 0.92 kWh/day from peak to off-peak hours. Estimated monthly saving: £17.41. 612 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002137,1.0187413975537634,0.916867257798387,17.39,0.6814030874045673,0.2840951131739145,0.022601150237110283,Affluent,Std,624,Balanced Users,Shift approximately 0.92 kWh/day from peak to off-peak hours. Estimated monthly saving: £17.39. 624 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003856,1.0165987781398507,0.9149389003258654,17.35,0.7169978754122046,0.2834863165051844,0.022437531871494134,Affluent,Std,395,Balanced Users,Shift approximately 0.91 kWh/day from peak to off-peak hours. Estimated monthly saving: £17.35. 395 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001258,0.9801467998896246,0.8821321199006622,16.73,0.6613701147907747,0.2828338627261428,0.024306035078027897,Affluent,Std,290,Balanced Users,Shift approximately 0.88 kWh/day from peak to off-peak hours. Estimated monthly saving: £16.73. 290 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC004280,0.9795247213823454,0.8815722492441107,16.72,0.6729837445113658,0.284469917751441,0.02331455216631047,Affluent,Std,793,Balanced Users,Shift approximately 0.88 kWh/day from peak to off-peak hours. Estimated monthly saving: £16.72. 793 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000569,0.9705684468446603,0.8735116021601941,16.56,0.7574006920881657,0.2854453822332868,0.0233165340943591,Affluent,Std,803,Balanced Users,Shift approximately 0.87 kWh/day from peak to off-peak hours. Estimated monthly saving: £16.56. 803 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001851,0.9363825090377459,0.8427442581339712,15.98,0.6350946030924749,0.2857047850231104,0.02234562564426562,ACORN-U,ToU,776,Balanced Users,Shift approximately 0.84 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.98. 776 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs.
MAC004016,0.9299775740863787,0.8369798166777407,15.87,0.7894946836629377,0.28594188342049665,0.021611886537595677,Affluent,Std,517,Balanced Users,Shift approximately 0.84 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.87. 517 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003388,0.9165228438545688,0.8248705594691119,15.64,0.6025874186790631,0.2859212750543347,0.021250905578362716,Affluent,Std,458,Balanced Users,Shift approximately 0.82 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.64. 458 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001603,0.9119924580494148,0.8207932122444732,15.56,0.587654466777279,0.2857700566074566,0.023423775131758737,Adversity,Std,387,Balanced Users,Shift approximately 0.82 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.56. 387 anomalous readings detected. Inspect high-consumption appliances.
MAC000307,0.9105313871234767,0.8194782484111289,15.54,0.848773790081385,0.2843585540505565,0.023466482615822622,Affluent,Std,711,Balanced Users,Shift approximately 0.82 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.54. 711 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003597,0.9078396027392739,0.8170556424653463,15.49,0.6004518044850087,0.2835136697778145,0.021805567027339556,Affluent,Std,492,Balanced Users,Shift approximately 0.82 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.49. 492 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005356,0.9049357759158752,0.8144421983242875,15.44,0.7489606832296204,0.2851162527578209,0.023080839508966455,Affluent,Std,666,Balanced Users,Shift approximately 0.81 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.44. 666 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005318,0.901156558131177,0.8110409023180594,15.38,0.86970285595131,0.2856460137186551,0.022939390531879007,Affluent,Std,901,Balanced Users,Shift approximately 0.81 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.38. 901 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003613,0.8939709574917492,0.8045738617425742,15.26,0.6905727556693368,0.28536625650342723,0.021801965480221324,Affluent,Std,609,Balanced Users,Shift approximately 0.80 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.26. 609 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001910,0.8920191137614678,0.8028172023853211,15.22,0.45242768278931755,0.2924284483583804,0.032162343256437256,Adversity,ToU,271,Balanced Users,Shift approximately 0.80 kWh/day from peak to off-peak hours. Estimated monthly saving: £15.22. 271 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs.
MAC004348,0.8696491029843786,0.7826841926859407,14.84,0.549434432814277,0.2854810019537515,0.02379494357449042,Affluent,Std,682,Balanced Users,Shift approximately 0.78 kWh/day from peak to off-peak hours. Estimated monthly saving: £14.84. 682 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002601,0.8634810168341708,0.7771329151507537,14.74,0.6986595297824038,0.28332925849603574,0.021794558345848904,Affluent,Std,862,Balanced Users,Shift approximately 0.78 kWh/day from peak to off-peak hours. Estimated monthly saving: £14.74. 862 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005346,0.8622920057588076,0.7760628051829268,14.72,0.674325393552033,0.2847899183408211,0.02305670933288124,Affluent,Std,447,Balanced Users,Shift approximately 0.78 kWh/day from peak to off-peak hours. Estimated monthly saving: £14.72. 447 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002741,0.8528514130171544,0.767566271715439,14.56,0.5385522472733008,0.28462387636019554,0.022709351837249644,Affluent,ToU,864,Balanced Users,Shift approximately 0.77 kWh/day from peak to off-peak hours. Estimated monthly saving: £14.56. 864 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005302,0.841179250840242,0.7570613257562178,14.36,0.6193640718168572,0.285137861466039,0.022864828513786146,Affluent,Std,534,Balanced Users,Shift approximately 0.76 kWh/day from peak to off-peak hours. Estimated monthly saving: £14.36. 534 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC004198,0.8358726523660404,0.7522853871294364,14.27,0.8093063863784773,0.28418440642549303,0.025075094684602325,Affluent,Std,514,Balanced Users,Shift approximately 0.75 kWh/day from peak to off-peak hours. Estimated monthly saving: £14.27. 514 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001074,0.8093355540740741,0.7284019986666667,13.81,0.4848133404768531,0.2849986084052324,0.017812413025327024,ACORN-,ToU,289,Balanced Users,Shift approximately 0.73 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.81. 289 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs.
MAC001495,0.8088493542118863,0.7279644187906977,13.8,0.6511644366039687,0.28385366168961285,0.02326934264107039,Affluent,ToU,740,Balanced Users,Shift approximately 0.73 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.80. 740 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005070,0.7857560078892373,0.7071804071003136,13.41,0.44823636655121707,0.2838425093938899,0.023525567717693187,Affluent,ToU,459,Balanced Users,Shift approximately 0.71 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.41. 459 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002757,0.7851334357432775,0.7066200921689497,13.4,0.4331958364761512,0.2848211735584399,0.0228491637840754,Affluent,Std,737,Balanced Users,Shift approximately 0.71 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.40. 737 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000216,0.7830718637231019,0.7047646773507916,13.36,0.5178791235023743,0.28517737880596256,0.021940628253637726,Adversity,Std,1181,Balanced Users,Shift approximately 0.70 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.36. 1181 anomalous readings detected. Inspect high-consumption appliances.
MAC000309,0.7823743953258117,0.7041369557932304,13.35,0.39676768552063546,0.2844356184884591,0.023484717665342773,Affluent,Std,974,Balanced Users,Shift approximately 0.70 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.35. 974 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC004587,0.7820323847012842,0.7038291462311558,13.35,0.6039550489609165,0.28497083580734167,0.021794558345848904,ACORN-U,Std,488,Balanced Users,Shift approximately 0.70 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.35. 488 anomalous readings detected. Inspect high-consumption appliances.
MAC003566,0.7738491436100131,0.6964642292490117,13.21,0.6080914785107961,0.2848195154112411,0.021757046316136477,Affluent,Std,389,Balanced Users,Shift approximately 0.70 kWh/day from peak to off-peak hours. Estimated monthly saving: £13.21. 389 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003428,0.7566834950485437,0.6810151455436892,12.91,0.5464911286032569,0.2837235680142591,0.021388641335169732,Affluent,Std,226,Balanced Users,Shift approximately 0.68 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.91. 226 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002087,0.7559560558145767,0.6803604502331191,12.9,0.603583534406007,0.2847613301153124,0.02252614641995173,ACORN-U,Std,327,Balanced Users,Shift approximately 0.68 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.90. 327 anomalous readings detected. Inspect high-consumption appliances.
MAC002475,0.7542990484984985,0.6788691436486487,12.87,0.5011310648531897,0.2838853064546422,0.024040568459275026,Adversity,Std,882,Balanced Users,Shift approximately 0.68 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.87. 882 anomalous readings detected. Inspect high-consumption appliances.
MAC003394,0.7524291252427185,0.6771862127184467,12.84,0.5719399163285963,0.2875420057492206,0.02137738369974493,Affluent,Std,406,Balanced Users,Shift approximately 0.68 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.84. 406 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC004225,0.7369421187338502,0.6632479068604651,12.58,0.6386987847113582,0.2839550067877691,0.023272351153920744,Affluent,Std,561,Balanced Users,Shift approximately 0.66 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.58. 561 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003775,0.7337989651515152,0.6604190686363637,12.52,0.6215505503653685,0.2885949495883822,0.024419572657478496,Affluent,Std,380,Balanced Users,Shift approximately 0.66 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.52. 380 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000522,0.7136552872451399,0.6422897585206259,12.18,0.44800919623246016,0.28479041205612743,0.024207185024770834,Affluent,Std,413,Balanced Users,Shift approximately 0.64 kWh/day from peak to off-peak hours. Estimated monthly saving: £12.18. 413 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005287,0.6944623566557556,0.6250161209901801,11.85,0.6470978458263631,0.28746031204124134,0.022942200675975556,Adversity,Std,683,Balanced Users,Shift approximately 0.63 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.85. 683 anomalous readings detected. Inspect high-consumption appliances.
MAC003860,0.6941255941276306,0.6247130347148675,11.85,0.6770419498683764,0.28532608695652173,0.022418478260869564,ACORN-U,Std,369,Balanced Users,Shift approximately 0.62 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.85. 369 anomalous readings detected. Inspect high-consumption appliances.
MAC003978,0.6914897560354374,0.6223407804318937,11.8,0.44000266705230345,0.28593695878074127,0.021614132317284377,Adversity,Std,800,Balanced Users,Shift approximately 0.62 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.80. 800 anomalous readings detected. Inspect high-consumption appliances.
MAC003693,0.6860636876292097,0.6174573188662887,11.71,0.40522509589103956,0.2843317203403971,0.0220256966460871,Adversity,Std,511,Balanced Users,Shift approximately 0.62 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.71. 511 anomalous readings detected. Inspect high-consumption appliances.
MAC005412,0.6848166894436845,0.616335020499316,11.69,0.5229055467731356,0.28472836161414516,0.02327106801654071,Affluent,Std,636,Balanced Users,Shift approximately 0.62 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.69. 636 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003218,0.6851714969404187,0.6166543472463768,11.69,1.9089870881267021,0.28084333703217995,0.024210632502774134,ACORN-U,Std,153,High Consumption,Shift approximately 0.62 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.69. 153 anomalous readings detected. Inspect high-consumption appliances. Overall electricity usage is higher than similar households. Review HVAC and large appliances.
MAC004649,0.684545871304791,0.6160912841743119,11.68,0.5831156547524879,0.2878285276856341,0.024496044909415666,ACORN-U,Std,349,Balanced Users,Shift approximately 0.62 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.68. 349 anomalous readings detected. Inspect high-consumption appliances.
MAC001878,0.6787075370488322,0.610836783343949,11.58,0.47812387971519615,0.28676226515302394,0.022306313483369845,Adversity,Std,597,Balanced Users,Shift approximately 0.61 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.58. 597 anomalous readings detected. Inspect high-consumption appliances.
MAC000133,0.664527524772351,0.5980747722951159,11.34,0.45669618544847573,0.285673619377879,0.022359091144350706,Adversity,Std,872,Balanced Users,Shift approximately 0.60 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.34. 872 anomalous readings detected. Inspect high-consumption appliances.
MAC001510,0.6620255417182662,0.5958229875464396,11.3,0.48615899196166384,0.28500435638452354,0.023234050792216594,Affluent,Std,835,Balanced Users,Shift approximately 0.60 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.30. 835 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000113,0.6553123832258064,0.5897811449032258,11.18,0.518513312323348,0.28602659865184915,0.022486531504567576,Affluent,Std,704,Balanced Users,Shift approximately 0.59 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.18. 704 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005275,0.6514113059203206,0.5862701753282885,11.12,0.5471821697979291,0.2859051436205745,0.022712090848363394,Affluent,Std,866,Balanced Users,Shift approximately 0.59 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.12. 866 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002635,0.6502463660401002,0.5852217294360902,11.1,0.46938938361133753,0.28594720010033237,0.024079764218975355,Affluent,Std,312,Balanced Users,Shift approximately 0.59 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.10. 312 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000031,0.6505623593897194,0.5855061234507475,11.1,0.4173827726038277,0.28531167533499013,0.022136250672542337,Adversity,ToU,941,Balanced Users,Shift approximately 0.59 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.10. 941 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs.
MAC003166,0.6450243053240741,0.5805218747916666,11.01,0.49715825097911465,0.283201216201542,0.022478010641763493,Affluent,Std,602,Balanced Users,Shift approximately 0.58 kWh/day from peak to off-peak hours. Estimated monthly saving: £11.01. 602 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000641,0.6424699436845948,0.5782229493161353,10.96,0.5228715036856683,0.2848708037861034,0.023374014669629,Adversity,ToU,904,Balanced Users,Shift approximately 0.58 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.96. 904 anomalous readings detected. Inspect high-consumption appliances. Time-of-Use tariff detected. Running flexible appliances during off-peak hours can reduce costs.
MAC001893,0.6404090907230198,0.5763681816507178,10.93,0.3818012037477969,0.28572378703734497,0.022347111835323067,Affluent,Std,678,Balanced Users,Shift approximately 0.58 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.93. 678 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003182,0.6347135704190119,0.5712422133771107,10.83,0.44867436120740245,0.28533980202668335,0.02065808521460151,Affluent,Std,587,Balanced Users,Shift approximately 0.57 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.83. 587 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005327,0.63425761344462,0.570831852100158,10.82,0.6877544785144019,0.28436821169633536,0.023020283803989055,Affluent,Std,1001,Balanced Users,Shift approximately 0.57 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.82. 1001 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005411,0.6272156862289102,0.5644941176060192,10.7,0.4374181927320441,0.28472816475554796,0.023275714530207086,Affluent,Std,524,Balanced Users,Shift approximately 0.56 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.70. 524 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001989,0.6253071581463675,0.5627764423317307,10.67,0.4229995322359626,0.285394385026738,0.022459893048128343,Affluent,Std,667,Balanced Users,Shift approximately 0.56 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.67. 667 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005322,0.6252664784996862,0.5627398306497176,10.67,0.43273094294073755,0.2865334014059616,0.024466873502729452,Affluent,Std,540,Balanced Users,Shift approximately 0.56 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.67. 540 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC004431,0.6224409968500235,0.5601968971650211,10.62,0.4482283008088473,0.28371422688902614,0.02394188064354834,Affluent,Std,665,Balanced Users,Shift approximately 0.56 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.62. 665 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC000535,0.6206977648688047,0.5586279883819242,10.59,0.5791035228169356,0.28297012248867814,0.023342755539345308,Affluent,Std,793,Balanced Users,Shift approximately 0.56 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.59. 793 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001271,0.6180888211332313,0.5562799390199081,10.55,0.3393258093672179,0.2835387267735138,0.022987037864759596,Affluent,Std,530,Balanced Users,Shift approximately 0.56 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.55. 530 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC002725,0.6161099297619048,0.5544989367857144,10.51,0.5296388000982037,0.2828270028827573,0.022808629264738492,Affluent,Std,1002,Balanced Users,Shift approximately 0.55 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.51. 1002 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC005399,0.6109038941471191,0.5498135047324072,10.43,0.35339965817146113,0.28433494730845915,0.02324124181144973,Affluent,Std,1178,Balanced Users,Shift approximately 0.55 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.43. 1178 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC003872,0.6092500852670977,0.5483250767403879,10.4,0.3691334383544735,0.2860304758661786,0.022473823103771176,Adversity,Std,399,Balanced Users,Shift approximately 0.55 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.40. 399 anomalous readings detected. Inspect high-consumption appliances.
MAC004459,0.6048446881756057,0.544360219358045,10.32,0.3994162650888647,0.28581791802684076,0.02238457951189181,Adversity,Std,922,Balanced Users,Shift approximately 0.54 kWh/day from peak to off-peak hours. Estimated monthly saving: £10.32. 922 anomalous readings detected. Inspect high-consumption appliances.
MAC000886,0.58038467280418,0.522346205523762,9.91,0.3956504576271714,0.28684390760226636,0.023908847518834445,Affluent,Std,662,Balanced Users,Shift approximately 0.52 kWh/day from peak to off-peak hours. Estimated monthly saving: £9.91. 662 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
MAC001956,0.5800890661333333,0.52208015952,9.9,0.45033415609300464,0.2833839276778864,0.022417186509657405,Affluent,Std,737,Balanced Users,Shift approximately 0.52 kWh/day from peak to off-peak hours. Estimated monthly saving: £9.90. 737 anomalous readings detected. Inspect high-consumption appliances. Compare energy usage with households in the same ACORN segment to identify efficiency opportunities.
