LCLid,tstp,consumption,predicted
MAC000002,2013-10-13 22:00:00,0.274,0.22590214
MAC000002,2013-10-13 22:30:00,0.276,0.36499792
MAC000002,2013-10-13 23:00:00,0.282,0.22481285
MAC000002,2013-10-13 23:30:00,0.261,0.20760886
MAC000002,2013-10-14 00:00:00,0.271,0.22385444
MAC000002,2013-10-14 00:30:00,0.23,0.19481844
MAC000002,2013-10-14 01:00:00,0.277,0.18436617
MAC000002,2013-10-14 01:30:00,0.195,0.15754935
MAC000002,2013-10-14 02:00:00,0.128,0.13191684
MAC000002,2013-10-14 02:30:00,0.113,0.112766504
MAC000002,2013-10-14 03:00:00,0.105,0.15767439
MAC000002,2013-10-14 03:30:00,0.127,0.13163018
MAC000002,2013-10-14 04:00:00,0.089,0.10600384
MAC000002,2013-10-14 04:30:00,0.137,0.12586613
MAC000002,2013-10-14 05:00:00,0.08,0.1171404
MAC000002,2013-10-14 05:30:00,0.132,0.13709761
MAC000002,2013-10-14 06:00:00,0.096,0.1374145
MAC000002,2013-10-14 06:30:00,0.112,0.1646114
MAC000002,2013-10-14 07:00:00,0.114,0.17640828
MAC000002,2013-10-14 07:30:00,0.093,0.1884432
MAC000002,2013-10-14 08:00:00,0.132,0.22405964
MAC000002,2013-10-14 08:30:00,0.4,0.32773307
MAC000002,2013-10-14 09:00:00,0.132,0.2677344
MAC000002,2013-10-14 09:30:00,0.099,0.21902113
MAC000002,2013-10-14 10:00:00,0.107,0.24650575
MAC000002,2013-10-14 10:30:00,0.12,0.23272751
MAC000002,2013-10-14 11:00:00,0.083,0.22988713
MAC000002,2013-10-14 11:30:00,0.468,0.3790696
MAC000002,2013-10-14 12:00:00,0.104,0.22672527
MAC000002,2013-10-14 12:30:00,0.125,0.2354766
MAC000002,2013-10-14 13:00:00,0.119,0.20481952
MAC000002,2013-10-14 13:30:00,0.082,0.2243648
MAC000002,2013-10-14 14:00:00,0.126,0.21620114
MAC000002,2013-10-14 14:30:00,0.101,0.21975502
MAC000002,2013-10-14 15:00:00,0.1,0.2295783
MAC000002,2013-10-14 15:30:00,0.127,0.20880593
MAC000002,2013-10-14 16:00:00,0.087,0.26332417
MAC000002,2013-10-14 16:30:00,0.197,0.24544527
MAC000002,2013-10-14 17:00:00,0.505,0.31659716
MAC000002,2013-10-14 17:30:00,0.521,0.3074731
MAC000002,2013-10-14 18:00:00,0.532,0.3659379
MAC000002,2013-10-14 18:30:00,0.547,0.40017572
MAC000002,2013-10-14 19:00:00,1.141,0.65306205
MAC000002,2013-10-14 19:30:00,0.44,0.4193667
MAC000002,2013-10-14 20:00:00,0.299,0.38360775
MAC000002,2013-10-14 20:30:00,0.228,0.39587653
MAC000002,2013-10-14 21:00:00,0.194,0.35915816
MAC000002,2013-10-14 21:30:00,0.22,0.36477122
MAC000002,2013-10-14 22:00:00,0.225,0.27758732
MAC000002,2013-10-14 22:30:00,0.186,0.27981538
MAC000002,2013-10-14 23:00:00,0.23,0.25401372
MAC000002,2013-10-14 23:30:00,0.184,0.22122273
MAC000002,2013-10-15 00:00:00,0.188,0.22431411
MAC000002,2013-10-15 00:30:00,0.084,0.19068764
MAC000002,2013-10-15 01:00:00,0.132,0.21946368
MAC000002,2013-10-15 01:30:00,0.092,0.17316243
MAC000002,2013-10-15 02:00:00,0.115,0.114136435
MAC000002,2013-10-15 02:30:00,0.108,0.11193504
MAC000002,2013-10-15 03:00:00,0.098,0.10191769
MAC000002,2013-10-15 03:30:00,0.125,0.12413781
MAC000002,2013-10-15 04:00:00,0.081,0.09381276
MAC000002,2013-10-15 04:30:00,0.128,0.12600778
MAC000002,2013-10-15 05:00:00,0.081,0.09283954
MAC000002,2013-10-15 05:30:00,0.121,0.13347538
MAC000002,2013-10-15 06:00:00,0.098,0.11663814
MAC000002,2013-10-15 06:30:00,0.102,0.14174679
MAC000002,2013-10-15 07:00:00,0.117,0.15152055
MAC000002,2013-10-15 07:30:00,0.084,0.16753681
MAC000002,2013-10-15 08:00:00,0.127,0.19638078
MAC000002,2013-10-15 08:30:00,0.129,0.3604473
MAC000002,2013-10-15 09:00:00,0.408,0.2410653
MAC000002,2013-10-15 09:30:00,0.182,0.18960808
MAC000002,2013-10-15 10:00:00,0.511,0.21140042
MAC000002,2013-10-15 10:30:00,0.563,0.20665906
MAC000002,2013-10-15 11:00:00,0.512,0.21394518
MAC000002,2013-10-15 11:30:00,0.552,0.27011484
MAC000002,2013-10-15 12:00:00,0.556,0.22940034
MAC000002,2013-10-15 12:30:00,1.008,0.2935568
MAC000002,2013-10-15 13:00:00,0.559,0.24200779
MAC000002,2013-10-15 13:30:00,0.111,0.24565513
MAC000002,2013-10-15 14:00:00,0.114,0.22649847
MAC000002,2013-10-15 14:30:00,0.116,0.23587155
MAC000002,2013-10-15 15:00:00,0.089,0.23573406
MAC000002,2013-10-15 15:30:00,0.126,0.22726849
MAC000002,2013-10-15 16:00:00,0.117,0.27758563
MAC000002,2013-10-15 16:30:00,0.794,0.32173446
MAC000002,2013-10-15 17:00:00,1.405,0.46854842
MAC000002,2013-10-15 17:30:00,1.082,0.4394009
MAC000002,2013-10-15 18:00:00,1.3329999,0.5436386
MAC000002,2013-10-15 18:30:00,1.146,0.56674385
MAC000002,2013-10-15 19:00:00,1.376,0.8470053
MAC000002,2013-10-15 19:30:00,1.0089999,0.59492666
MAC000002,2013-10-15 20:00:00,0.851,0.48694476
MAC000002,2013-10-15 20:30:00,0.938,0.50102466
MAC000002,2013-10-15 21:00:00,0.89,0.43771315
MAC000002,2013-10-15 21:30:00,0.859,0.46192837
MAC000002,2013-10-15 22:00:00,0.407,0.36533
MAC000002,2013-10-15 22:30:00,0.264,0.3669608
MAC000002,2013-10-15 23:00:00,0.272,0.28396764
MAC000002,2013-10-15 23:30:00,0.212,0.2828512
MAC000002,2013-10-16 00:00:00,0.193,0.23943749
MAC000002,2013-10-16 00:30:00,0.133,0.20738034
MAC000002,2013-10-16 01:00:00,0.085,0.19542713
MAC000002,2013-10-16 01:30:00,0.132,0.1610596
MAC000002,2013-10-16 02:00:00,0.096,0.16663967
MAC000002,2013-10-16 02:30:00,0.112,0.15038604
MAC000002,2013-10-16 03:00:00,0.12,0.15707535
MAC000002,2013-10-16 03:30:00,0.087,0.14571962
MAC000002,2013-10-16 04:00:00,0.129,0.15249062
MAC000002,2013-10-16 04:30:00,0.09,0.1580579
MAC000002,2013-10-16 05:00:00,0.113,0.16247043
MAC000002,2013-10-16 05:30:00,0.114,0.1801247
MAC000002,2013-10-16 06:00:00,0.089,0.2027895
MAC000002,2013-10-16 06:30:00,0.127,0.21395735
MAC000002,2013-10-16 07:00:00,0.084,0.23537691
MAC000002,2013-10-16 07:30:00,0.116,0.24514176
MAC000002,2013-10-16 08:00:00,0.109,0.28944498
MAC000002,2013-10-16 08:30:00,0.096,0.41275093
MAC000002,2013-10-16 09:00:00,0.498,0.4184828
MAC000002,2013-10-16 09:30:00,0.483,0.35928065
MAC000002,2013-10-16 10:00:00,0.676,0.4322913
MAC000002,2013-10-16 10:30:00,0.827,0.56508267
MAC000002,2013-10-16 11:00:00,0.651,0.49405265
MAC000002,2013-10-16 11:30:00,1.523,0.4535949
MAC000002,2013-10-16 12:00:00,0.764,0.5194363
MAC000002,2013-10-16 12:30:00,0.653,0.49171457
MAC000002,2013-10-16 13:00:00,0.762,0.450687
MAC000002,2013-10-16 13:30:00,0.977,0.37855452
MAC000002,2013-10-16 14:00:00,0.939,0.3915727
MAC000002,2013-10-16 14:30:00,0.508,0.3997746
MAC000002,2013-10-16 15:00:00,0.189,0.34594464
MAC000002,2013-10-16 15:30:00,0.211,0.3856644
MAC000002,2013-10-16 16:00:00,0.654,0.40118366
MAC000002,2013-10-16 16:30:00,0.786,0.5615485
MAC000002,2013-10-16 17:00:00,1.332,0.696049
MAC000002,2013-10-16 17:30:00,0.397,0.65873736
MAC000002,2013-10-16 18:00:00,0.61,0.73196715
MAC000002,2013-10-16 18:30:00,0.863,0.7010423
MAC000002,2013-10-16 19:00:00,0.828,0.97312784
MAC000002,2013-10-16 19:30:00,0.857,0.70028645
MAC000002,2013-10-16 20:00:00,0.77,0.6732749
MAC000002,2013-10-16 20:30:00,0.826,0.6701036
MAC000002,2013-10-16 21:00:00,0.747,0.64043105
MAC000002,2013-10-16 21:30:00,0.484,0.6158166
MAC000002,2013-10-16 22:00:00,0.184,0.46075246
MAC000002,2013-10-16 22:30:00,0.712,0.38897884
MAC000002,2013-10-16 23:00:00,0.211,0.3208397
MAC000002,2013-10-16 23:30:00,0.161,0.27028343
MAC000002,2013-10-17 00:00:00,0.219,0.22593282
MAC000002,2013-10-17 00:30:00,0.154,0.19843386
MAC000002,2013-10-17 01:00:00,0.23,0.12656607
MAC000002,2013-10-17 01:30:00,0.111,0.15904957
MAC000002,2013-10-17 02:00:00,0.146,0.11553941
MAC000002,2013-10-17 02:30:00,0.084,0.14210792
MAC000002,2013-10-17 03:00:00,0.131,0.13032657
MAC000002,2013-10-17 03:30:00,0.098,0.12390302
MAC000002,2013-10-17 04:00:00,0.116,0.13667697
MAC000002,2013-10-17 04:30:00,0.11,0.12043271
MAC000002,2013-10-17 05:00:00,0.1,0.14755455
MAC000002,2013-10-17 05:30:00,0.124,0.1427987
MAC000002,2013-10-17 06:00:00,0.084,0.18849061
MAC000002,2013-10-17 06:30:00,0.132,0.1790392
MAC000002,2013-10-17 07:00:00,0.079,0.21532784
MAC000002,2013-10-17 07:30:00,0.128,0.21067265
MAC000002,2013-10-17 08:00:00,0.093,0.2906264
MAC000002,2013-10-17 08:30:00,0.363,0.29083306
MAC000002,2013-10-17 09:00:00,0.201,0.41312817
MAC000002,2013-10-17 09:30:00,0.092,0.5672787
MAC000002,2013-10-17 10:00:00,0.155,0.5237843
MAC000002,2013-10-17 10:30:00,0.102,0.5479362
MAC000002,2013-10-17 11:00:00,0.246,0.6023029
MAC000002,2013-10-17 11:30:00,1.143,0.42066717
MAC000002,2013-10-17 12:00:00,0.524,0.3754222
MAC000002,2013-10-17 12:30:00,0.255,0.36578518
MAC000002,2013-10-17 13:00:00,0.083,0.3573966
MAC000002,2013-10-17 13:30:00,0.134,0.33880132
MAC000002,2013-10-17 14:00:00,0.101,0.32984367
MAC000002,2013-10-17 14:30:00,0.109,0.3073089
MAC000002,2013-10-17 15:00:00,0.123,0.27330557
MAC000002,2013-10-17 15:30:00,0.198,0.2759963
MAC000002,2013-10-17 16:00:00,0.593,0.3849794
MAC000002,2013-10-17 16:30:00,0.871,0.40875977
MAC000002,2013-10-17 17:00:00,1.45,0.48171306
MAC000002,2013-10-17 17:30:00,1.4529999,0.5151508
MAC000002,2013-10-17 18:00:00,0.648,0.69031096
MAC000002,2013-10-17 18:30:00,0.595,0.7169849
MAC000002,2013-10-17 19:00:00,0.621,0.8211615
MAC000002,2013-10-17 19:30:00,0.569,0.6029644
MAC000002,2013-10-17 20:00:00,0.546,0.57580453
MAC000002,2013-10-17 20:30:00,0.53,0.5753933
MAC000002,2013-10-17 21:00:00,0.521,0.5155894
MAC000002,2013-10-17 21:30:00,0.562,0.49692708
MAC000002,2013-10-17 22:00:00,0.473,0.28824383
MAC000002,2013-10-17 22:30:00,0.242,0.4779642
MAC000002,2013-10-17 23:00:00,0.244,0.23143847
MAC000002,2013-10-17 23:30:00,0.201,0.22347504
MAC000002,2013-10-18 00:00:00,0.215,0.22527285
MAC000002,2013-10-18 00:30:00,0.165,0.18870851
MAC000002,2013-10-18 01:00:00,0.203,0.19389617
MAC000002,2013-10-18 01:30:00,0.155,0.11638634
MAC000002,2013-10-18 02:00:00,0.093,0.14326668
MAC000002,2013-10-18 02:30:00,0.134,0.10228584
MAC000002,2013-10-18 03:00:00,0.096,0.13177885
MAC000002,2013-10-18 03:30:00,0.113,0.12961319
MAC000002,2013-10-18 04:00:00,0.122,0.14218625
MAC000002,2013-10-18 04:30:00,0.086,0.12578802
MAC000002,2013-10-18 05:00:00,0.131,0.114252545
MAC000002,2013-10-18 05:30:00,0.096,0.14238289
MAC000002,2013-10-18 06:00:00,0.11,0.14002159
MAC000002,2013-10-18 06:30:00,0.122,0.1759221
MAC000002,2013-10-18 07:00:00,0.084,0.17286891
MAC000002,2013-10-18 07:30:00,0.128,0.2100176
MAC000002,2013-10-18 08:00:00,0.098,0.22822145
MAC000002,2013-10-18 08:30:00,0.227,0.41726837
MAC000002,2013-10-18 09:00:00,0.653,0.30324358
MAC000002,2013-10-18 09:30:00,0.554,0.24219307
MAC000002,2013-10-18 10:00:00,0.122,0.2873117
MAC000002,2013-10-18 10:30:00,0.186,0.25724152
MAC000002,2013-10-18 11:00:00,0.333,0.31815967
MAC000002,2013-10-18 11:30:00,0.555,0.3482366
MAC000002,2013-10-18 12:00:00,0.587,0.35167497
MAC000002,2013-10-18 12:30:00,1.274,0.4176259
MAC000002,2013-10-18 13:00:00,1.086,0.431841
MAC000002,2013-10-18 13:30:00,0.561,0.37163112
MAC000002,2013-10-18 14:00:00,1.112,0.42412245
MAC000002,2013-10-18 14:30:00,0.882,0.4554617
MAC000002,2013-10-18 15:00:00,0.195,0.41573453
MAC000002,2013-10-18 15:30:00,0.362,0.3726809
MAC000002,2013-10-18 16:00:00,0.177,0.5808231
MAC000002,2013-10-18 16:30:00,0.124,0.53965515
MAC000002,2013-10-18 17:00:00,0.181,0.53140515
MAC000002,2013-10-18 17:30:00,0.336,0.51454777
MAC000002,2013-10-18 18:00:00,0.271,0.65768796
MAC000002,2013-10-18 18:30:00,0.305,0.68499315
MAC000002,2013-10-18 19:00:00,0.31,0.64231086
MAC000002,2013-10-18 19:30:00,0.647,0.5360314
MAC000002,2013-10-18 20:00:00,1.171,0.5171801
MAC000002,2013-10-18 20:30:00,0.367,0.51099974
MAC000002,2013-10-18 21:00:00,0.393,0.46907085
MAC000002,2013-10-18 21:30:00,0.364,0.47164056
MAC000002,2013-10-18 22:00:00,0.341,0.39962652
MAC000002,2013-10-18 22:30:00,0.352,0.32685667
MAC000002,2013-10-18 23:00:00,0.274,0.2685548
MAC000002,2013-10-18 23:30:00,0.209,0.2392525
MAC000002,2013-10-19 00:00:00,0.199,0.22651292
MAC000002,2013-10-19 00:30:00,0.085,0.18598837
MAC000002,2013-10-19 01:00:00,0.135,0.18019906
MAC000002,2013-10-19 01:30:00,0.097,0.14801006
MAC000002,2013-10-19 02:00:00,0.118,0.11983754
MAC000002,2013-10-19 02:30:00,0.115,0.1257173
MAC000002,2013-10-19 03:00:00,0.101,0.11859215
MAC000002,2013-10-19 03:30:00,0.132,0.10995101
MAC000002,2013-10-19 04:00:00,0.084,0.12413233
MAC000002,2013-10-19 04:30:00,0.141,0.10261625
MAC000002,2013-10-19 05:00:00,0.088,0.12981117
MAC000002,2013-10-19 05:30:00,0.125,0.12232694
MAC000002,2013-10-19 06:00:00,0.103,0.12990342
MAC000002,2013-10-19 06:30:00,0.117,0.1592495
MAC000002,2013-10-19 07:00:00,0.189,0.15689081
MAC000002,2013-10-19 07:30:00,0.179,0.1979497
MAC000002,2013-10-19 08:00:00,0.2,0.25569695
MAC000002,2013-10-19 08:30:00,0.141,0.2680088
MAC000002,2013-10-19 09:00:00,0.524,0.37653762
MAC000002,2013-10-19 09:30:00,0.14,0.32838026
MAC000002,2013-10-19 10:00:00,0.172,0.32174647
MAC000002,2013-10-19 10:30:00,0.167,0.33293346
MAC000002,2013-10-19 11:00:00,0.106,0.3580764
MAC000002,2013-10-19 11:30:00,0.171,0.35120794
MAC000002,2013-10-19 12:00:00,0.1,0.34730765
MAC000002,2013-10-19 12:30:00,0.163,0.29812258
MAC000002,2013-10-19 13:00:00,0.352,0.28966442
MAC000002,2013-10-19 13:30:00,0.298,0.29951906
MAC000002,2013-10-19 14:00:00,0.152,0.2657181
MAC000002,2013-10-19 14:30:00,0.152,0.24787259
MAC000002,2013-10-19 15:00:00,0.168,0.24302566
MAC000002,2013-10-19 15:30:00,0.093,0.24500424
MAC000002,2013-10-19 16:00:00,0.157,0.25279093
MAC000002,2013-10-19 16:30:00,0.104,0.24197374
MAC000002,2013-10-19 17:00:00,0.151,0.27603748
MAC000002,2013-10-19 17:30:00,0.262,0.30001765
MAC000002,2013-10-19 18:00:00,1.233,0.35189623
MAC000002,2013-10-19 18:30:00,0.671,0.36933282
MAC000002,2013-10-19 19:00:00,0.324,0.3751875
MAC000002,2013-10-19 19:30:00,0.917,0.40993682
MAC000002,2013-10-19 20:00:00,0.796,0.34537193
MAC000002,2013-10-19 20:30:00,0.703,0.34577695
MAC000002,2013-10-19 21:00:00,0.856,0.3316786
MAC000002,2013-10-19 21:30:00,0.771,0.32791746
MAC000002,2013-10-19 22:00:00,0.711,0.2956398
MAC000002,2013-10-19 22:30:00,0.208,0.3866676
MAC000002,2013-10-19 23:00:00,0.252,0.27537096
MAC000002,2013-10-19 23:30:00,0.199,0.22403103
MAC000002,2013-10-20 00:00:00,0.256,0.24506134
MAC000002,2013-10-20 00:30:00,0.164,0.18593246
MAC000002,2013-10-20 01:00:00,0.221,0.19315621
MAC000002,2013-10-20 01:30:00,0.13,0.16147672
MAC000002,2013-10-20 02:00:00,0.142,0.1273242
MAC000002,2013-10-20 02:30:00,0.088,0.12500519
MAC000002,2013-10-20 03:00:00,0.14,0.13719822
MAC000002,2013-10-20 03:30:00,0.083,0.14459023
MAC000002,2013-10-20 04:00:00,0.145,0.09593778
MAC000002,2013-10-20 04:30:00,0.077,0.13787849
MAC000002,2013-10-20 05:00:00,0.143,0.10418585
MAC000002,2013-10-20 05:30:00,0.081,0.1267198
MAC000002,2013-10-20 06:00:00,0.135,0.13429818
MAC000002,2013-10-20 06:30:00,0.091,0.14284384
MAC000002,2013-10-20 07:00:00,0.126,0.19979106
MAC000002,2013-10-20 07:30:00,0.1,0.20014897
MAC000002,2013-10-20 08:00:00,0.114,0.23488611
MAC000002,2013-10-20 08:30:00,0.112,0.22362123
MAC000002,2013-10-20 09:00:00,0.327,0.39375663
MAC000002,2013-10-20 09:30:00,0.229,0.27947086
MAC000002,2013-10-20 10:00:00,0.286,0.3493794
MAC000002,2013-10-20 10:30:00,0.278,0.38944778
MAC000002,2013-10-20 11:00:00,0.175,0.38416207
MAC000002,2013-10-20 11:30:00,0.539,0.3949422
MAC000002,2013-10-20 12:00:00,0.508,0.3922373
MAC000002,2013-10-20 12:30:00,0.563,0.32054767
MAC000002,2013-10-20 13:00:00,0.527,0.3428508
MAC000002,2013-10-20 13:30:00,0.308,0.3439335
MAC000002,2013-10-20 14:00:00,0.162,0.32948276
MAC000002,2013-10-20 14:30:00,0.304,0.40222394
MAC000002,2013-10-20 15:00:00,0.247,0.39087903
MAC000002,2013-10-20 15:30:00,0.179,0.4189845
MAC000002,2013-10-20 16:00:00,0.467,0.46259084
MAC000002,2013-10-20 16:30:00,1.228,0.3848994
MAC000002,2013-10-20 17:00:00,1.293,0.46373066
MAC000002,2013-10-20 17:30:00,1.312,0.53979963
MAC000002,2013-10-20 18:00:00,1.2359999,0.66132516
MAC000002,2013-10-20 18:30:00,0.637,0.7749573
MAC000002,2013-10-20 19:00:00,0.558,0.6979039
MAC000002,2013-10-20 19:30:00,0.711,0.84671396
MAC000002,2013-10-20 20:00:00,0.649,0.57294804
MAC000002,2013-10-20 20:30:00,0.732,0.5731351
MAC000002,2013-10-20 21:00:00,0.68,0.5132656
MAC000002,2013-10-20 21:30:00,0.707,0.52111244
MAC000002,2013-10-20 22:00:00,0.677,0.4498433
MAC000002,2013-10-20 22:30:00,0.336,0.3473688
MAC000002,2013-10-20 23:00:00,0.247,0.28935304
MAC000002,2013-10-20 23:30:00,0.151,0.26280332
MAC000002,2013-10-21 00:00:00,0.187,0.26855582
MAC000002,2013-10-21 00:30:00,0.099,0.21358751
MAC000002,2013-10-21 01:00:00,0.121,0.23711516
MAC000002,2013-10-21 01:30:00,0.11,0.17204766
MAC000002,2013-10-21 02:00:00,0.103,0.14424558
MAC000002,2013-10-21 02:30:00,0.128,0.10718957
MAC000002,2013-10-21 03:00:00,0.086,0.13136135
MAC000002,2013-10-21 03:30:00,0.137,0.11251242
MAC000002,2013-10-21 04:00:00,0.086,0.12772667
MAC000002,2013-10-21 04:30:00,0.125,0.12102127
MAC000002,2013-10-21 05:00:00,0.102,0.13635352
MAC000002,2013-10-21 05:30:00,0.108,0.12975743
MAC000002,2013-10-21 06:00:00,0.12,0.1665763
MAC000002,2013-10-21 06:30:00,0.091,0.1581724
MAC000002,2013-10-21 07:00:00,0.135,0.21451321
MAC000002,2013-10-21 07:30:00,0.079,0.19044153
MAC000002,2013-10-21 08:00:00,0.248,0.26271498
MAC000002,2013-10-21 08:30:00,0.495,0.38189164
MAC000002,2013-10-21 09:00:00,0.292,0.31387287
MAC000002,2013-10-21 09:30:00,0.149,0.30047548
MAC000002,2013-10-21 10:00:00,0.095,0.31454813
MAC000002,2013-10-21 10:30:00,0.145,0.3152042
MAC000002,2013-10-21 11:00:00,0.107,0.2896588
MAC000002,2013-10-21 11:30:00,0.414,0.43799233
MAC000002,2013-10-21 12:00:00,0.233,0.28700584
MAC000002,2013-10-21 12:30:00,0.128,0.2812264
MAC000002,2013-10-21 13:00:00,0.219,0.2675326
MAC000002,2013-10-21 13:30:00,0.156,0.26791808
MAC000002,2013-10-21 14:00:00,0.138,0.26912194
MAC000002,2013-10-21 14:30:00,0.101,0.26619157
MAC000002,2013-10-21 15:00:00,0.142,0.26921844
MAC000002,2013-10-21 15:30:00,0.095,0.26703936
MAC000002,2013-10-21 16:00:00,0.205,0.3235934
MAC000002,2013-10-21 16:30:00,0.136,0.34340245
MAC000002,2013-10-21 17:00:00,0.187,0.50812876
MAC000002,2013-10-21 17:30:00,0.156,0.4646523
MAC000002,2013-10-21 18:00:00,0.185,0.5061288
MAC000002,2013-10-21 18:30:00,0.163,0.48301926
MAC000002,2013-10-21 19:00:00,1.069,0.55178237
MAC000002,2013-10-21 19:30:00,0.735,0.49977916
MAC000002,2013-10-21 20:00:00,0.703,0.42433384
MAC000002,2013-10-21 20:30:00,0.904,0.42242125
MAC000002,2013-10-21 21:00:00,0.791,0.39312512
MAC000002,2013-10-21 21:30:00,0.829,0.40400365
MAC000002,2013-10-21 22:00:00,0.573,0.37236923
MAC000002,2013-10-21 22:30:00,0.269,0.30791277
MAC000002,2013-10-21 23:00:00,0.186,0.2554181
MAC000002,2013-10-21 23:30:00,0.229,0.19906881
MAC000002,2013-10-22 00:00:00,0.141,0.19668436
MAC000002,2013-10-22 00:30:00,0.137,0.10913125
MAC000002,2013-10-22 01:00:00,0.104,0.1276097
MAC000002,2013-10-22 01:30:00,0.119,0.109748736
MAC000002,2013-10-22 02:00:00,0.11,0.10850847
MAC000002,2013-10-22 02:30:00,0.111,0.122916706
MAC000002,2013-10-22 03:00:00,0.117,0.09250198
MAC000002,2013-10-22 03:30:00,0.104,0.12910551
MAC000002,2013-10-22 04:00:00,0.124,0.0886308
MAC000002,2013-10-22 04:30:00,0.095,0.12250222
MAC000002,2013-10-22 05:00:00,0.13,0.10419533
MAC000002,2013-10-22 05:30:00,0.089,0.122389264
MAC000002,2013-10-22 06:00:00,0.137,0.13810298
MAC000002,2013-10-22 06:30:00,0.08,0.12577316
MAC000002,2013-10-22 07:00:00,0.143,0.18343593
MAC000002,2013-10-22 07:30:00,0.081,0.13915011
MAC000002,2013-10-22 08:00:00,0.474,0.25289917
MAC000002,2013-10-22 08:30:00,0.183,0.28226635
MAC000002,2013-10-22 09:00:00,0.49,0.33461794
MAC000002,2013-10-22 09:30:00,0.652,0.24863683
MAC000002,2013-10-22 10:00:00,0.567,0.3154702
MAC000002,2013-10-22 10:30:00,0.591,0.33679643
MAC000002,2013-10-22 11:00:00,0.412,0.33510163
MAC000002,2013-10-22 11:30:00,0.41,0.37970898
MAC000002,2013-10-22 12:00:00,0.147,0.3578077
MAC000002,2013-10-22 12:30:00,0.142,0.4159777
MAC000002,2013-10-22 13:00:00,0.086,0.3504575
MAC000002,2013-10-22 13:30:00,0.534,0.23937166
MAC000002,2013-10-22 14:00:00,0.092,0.22975744
MAC000002,2013-10-22 14:30:00,0.127,0.22583629
MAC000002,2013-10-22 15:00:00,0.105,0.2277417
MAC000002,2013-10-22 15:30:00,0.113,0.22661728
MAC000002,2013-10-22 16:00:00,0.123,0.30781198
MAC000002,2013-10-22 16:30:00,0.241,0.3983865
MAC000002,2013-10-22 17:00:00,0.186,0.52039814
MAC000002,2013-10-22 17:30:00,0.192,0.49893963
MAC000002,2013-10-22 18:00:00,0.211,0.5487259
MAC000002,2013-10-22 18:30:00,0.262,0.53788954
MAC000002,2013-10-22 19:00:00,1.115,0.71807593
MAC000002,2013-10-22 19:30:00,0.168,0.64779913
MAC000002,2013-10-22 20:00:00,0.224,0.5850906
MAC000002,2013-10-22 20:30:00,0.205,0.5672143
MAC000002,2013-10-22 21:00:00,0.212,0.5218437
MAC000002,2013-10-22 21:30:00,0.202,0.48895872
MAC000002,2013-10-22 22:00:00,0.207,0.40700537
MAC000002,2013-10-22 22:30:00,0.231,0.2960621
MAC000002,2013-10-22 23:00:00,0.17,0.22621506
MAC000002,2013-10-22 23:30:00,0.192,0.23596813
MAC000002,2013-10-23 00:00:00,0.156,0.17798606
MAC000002,2013-10-23 00:30:00,0.223,0.15030707
